City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Kuusamo,FI,2021-10-26 23:00:24,65.9667,29.1833,35.64,93,90,5.75
131,Bengkulu,ID,2021-10-26 23:00:25,-3.8004,102.2655,75.42,91,100,10.02
132,Huarmey,PE,2021-10-26 23:00:25,-10.0681,-78.1522,65.66,80,25,10.25
133,Allapalli,IN,2021-10-26 23:00:26,19.4167,80.0667,63.66,77,0,2.33
134,Ulladulla,AU,2021-10-26 23:00:26,-35.35,150.4667,65.08,53,62,3.24
135,Lakes Entrance,AU,2021-10-26 23:00:27,-37.8811,147.981,67.57,63,56,6.87
136,Tobermory,CA,2021-10-26 23:00:27,45.2501,-81.6665,44.31,80,100,23.06
137,Hasaki,JP,2021-10-26 23:00:28,35.7333,140.8333,54.28,67,64,7.56
138,Keita,NE,2021-10-26 23:00:28,14.7551,5.7749,85.82,17,3,6.06
139,Asau,RO,2021-10-26 23:00:29,46.4333,26.4,38.32,56,0,5.41
140,Ilulissat,GL,2021-10-26 23:00:29,69.2167,-51.1,12.22,57,19,4.61
141,Karakol,KG,2021-10-26 23:00:30,42.4907,78.3936,36.25,48,47,5.88
142,Belyy Yar,RU,2021-10-26 23:00:30,53.6039,91.3903,40.89,70,0,13.42
143,Bandarbeyla,SO,2021-10-26 23:00:31,9.4942,50.8122,77.0,81,54,3.09
144,Port Elizabeth,ZA,2021-10-26 23:00:31,-33.918,25.5701,67.1,82,98,23.09
145,Ballarat,AU,2021-10-26 23:00:08,-37.5662,143.8496,64.99,39,1,10.87
146,Kamenka,RU,2021-10-26 22:56:22,51.3223,42.7678,33.24,56,93,8.81
147,Vitoria Do Mearim,BR,2021-10-26 23:00:32,-3.4622,-44.8706,79.3,80,28,6.6
148,Saint-Augustin,CA,2021-10-26 23:00:33,51.226,-58.6502,41.4,64,3,5.61
149,Lompoc,US,2021-10-26 23:00:33,34.6391,-120.4579,76.57,57,0,8.99
150,Suba,PH,2021-10-26 23:00:34,10.8438,121.0102,83.03,78,100,20.62
151,Yar-Sale,RU,2021-10-26 23:00:34,66.8333,70.8333,17.37,93,80,9.84
152,Werda,BW,2021-10-26 23:00:35,-25.2667,23.2833,73.24,53,15,17.87
153,Wollongong,AU,2021-10-26 23:00:06,-34.4333,150.8833,72.18,66,58,4.27
154,Kuybysheve,UA,2021-10-26 23:00:36,47.358,36.6491,33.71,60,4,6.4
155,Olafsvik,IS,2021-10-26 23:00:36,64.8945,-23.7142,42.53,82,100,31.72
156,Nome,US,2021-10-26 23:00:36,64.5011,-165.4064,24.17,76,85,2.66
157,Pauini,BR,2021-10-26 23:00:37,-7.7136,-66.9764,74.43,95,92,1.3
158,Lata,PT,2021-10-26 22:56:06,40.1629,-8.3327,60.82,65,10,3.69
159,Beloha,MG,2021-10-26 23:00:38,-25.1667,45.05,73.27,78,21,10.07
160,Bambous Virieux,MU,2021-10-26 23:00:38,-20.3428,57.7575,73.22,76,22,14.72
161,Nipawin,CA,2021-10-26 23:00:39,53.3668,-104.0009,42.84,93,90,6.91
162,Cabo San Lucas,MX,2021-10-26 23:00:02,22.8909,-109.9124,88.61,65,1,13.51
163,Luderitz,NA,2021-10-26 23:00:39,-26.6481,15.1594,57.25,94,4,2.66
164,Priladozhskiy,RU,2021-10-26 23:00:40,59.85,31.4833,44.62,18,100,10.45
165,Bethel,US,2021-10-26 23:00:40,41.3712,-73.414,60.51,94,100,3.0
166,Ulaangom,MN,2021-10-26 23:00:41,49.9811,92.0667,30.65,69,29,2.44
167,Kahului,US,2021-10-26 23:00:41,20.8947,-156.47,80.83,81,3,13.0
168,Morgan City,US,2021-10-26 23:00:42,29.6994,-91.2068,80.6,76,98,4.18
169,Sistranda,NO,2021-10-26 23:00:42,63.7256,8.834,46.9,76,100,18.01
170,Corsicana,US,2021-10-26 23:00:43,32.0954,-96.4689,83.34,72,95,8.01
171,Castro,BR,2021-10-26 23:00:43,-24.7911,-50.0119,60.75,80,100,5.3
172,Saint-Philippe,RE,2021-10-26 23:00:43,-21.3585,55.7679,71.19,77,31,11.54
173,Fasa,IR,2021-10-26 23:00:44,28.9383,53.6482,55.54,26,0,0.94
174,Copacabana,CO,2021-10-26 22:56:30,6.3463,-75.5089,77.43,96,100,0.65
175,Mount Isa,AU,2021-10-26 23:00:29,-20.7333,139.5,87.57,35,75,5.75
176,Mahebourg,MU,2021-10-26 23:00:45,-20.4081,57.7,73.26,76,15,14.43
177,Petropavlovsk-Kamchatskiy,RU,2021-10-26 23:00:45,53.0452,158.6483,41.59,70,20,2.24
178,Henties Bay,NA,2021-10-26 23:00:46,-22.116,14.2845,59.86,89,5,3.42
179,Hobart,AU,2021-10-26 23:00:04,-42.8794,147.3294,60.03,69,0,3.0
180,Atuona,PF,2021-10-26 23:00:47,-9.8,-139.0333,77.52,70,5,13.85
181,Babu,CN,2021-10-26 23:00:48,24.4167,111.5167,62.28,89,87,4.18
182,Bolshaya Dzhalga,RU,2021-10-26 23:00:48,45.9695,42.6966,34.27,63,7,6.71
183,Tuktoyaktuk,CA,2021-10-26 22:59:58,69.4541,-133.0374,28.4,100,90,4.61
184,Padang,ID,2021-10-26 23:00:49,-0.9492,100.3543,74.8,89,100,4.23
185,Takoradi,GH,2021-10-26 23:00:49,4.8845,-1.7554,77.29,88,100,6.2
186,Naze,JP,2021-10-26 23:00:50,28.3667,129.4833,67.86,62,72,9.31
187,Ahipara,NZ,2021-10-26 23:00:50,-35.1667,173.1667,67.66,70,100,7.09
188,Aksu,CN,2021-10-26 23:00:51,41.1231,80.2644,47.79,41,100,1.79
189,Mudbidri,IN,2021-10-26 23:00:52,13.0833,74.9833,73.49,91,92,2.08
190,Kandrian,PG,2021-10-26 23:00:52,-6.2167,149.55,84.6,72,88,5.97
191,Norman Wells,CA,2021-10-26 23:00:53,65.282,-126.8329,27.63,94,100,3.15
192,Ous,RU,2021-10-26 23:00:53,60.9058,61.5186,22.23,79,29,3.2
193,Mombasa,KE,2021-10-26 23:00:18,-4.0547,39.6636,76.57,88,81,9.84
194,Arraial Do Cabo,BR,2021-10-26 22:59:23,-22.9661,-42.0278,73.36,94,75,8.05
195,Bredasdorp,ZA,2021-10-26 23:00:54,-34.5322,20.0403,64.0,85,100,15.93
196,Itaqui,BR,2021-10-26 23:00:55,-29.1253,-56.5531,71.67,53,0,9.31
197,Anadyr,RU,2021-10-26 23:00:55,64.75,177.4833,1.9,85,75,8.95
198,Gulu,UG,2021-10-26 23:00:56,2.7746,32.299,65.1,91,66,2.33
199,Derzhavinsk,KZ,2021-10-26 23:00:56,51.1,66.3167,27.16,59,44,1.61
200,Maroantsetra,MG,2021-10-26 23:00:56,-15.4333,49.7333,70.84,86,44,1.23
201,Imeni Poliny Osipenko,RU,2021-10-26 23:00:57,52.4201,136.4853,34.84,89,100,2.71
202,Revelstoke,CA,2021-10-26 23:00:27,50.9832,-118.2023,47.93,88,99,5.01
203,Morondava,MG,2021-10-26 23:00:57,-20.2833,44.2833,74.46,81,1,2.21
204,Balabac,PH,2021-10-26 23:00:58,7.9868,117.0645,82.02,80,92,9.4
205,Vostok,RU,2021-10-26 23:00:58,46.4856,135.8833,38.35,78,96,2.68
206,Svetlogorsk,BY,2021-10-26 23:00:59,52.6333,29.7333,39.96,60,100,9.93
207,Portland,US,2021-10-26 23:00:59,45.5234,-122.6762,57.24,89,82,1.99
208,Chirongui,YT,2021-10-26 23:01:00,-12.9319,45.1483,78.73,78,9,3.76
209,Riyadh,SA,2021-10-26 23:00:35,24.6877,46.7219,75.67,22,0,9.8
210,Namibe,AO,2021-10-26 23:01:00,-15.1961,12.1522,64.33,76,31,6.82
211,Laurel,US,2021-10-26 22:57:31,39.0993,-76.8483,55.81,71,90,5.01
212,Kaitangata,NZ,2021-10-26 23:01:01,-46.2817,169.8464,60.55,70,93,3.62
213,Aykhal,RU,2021-10-26 23:01:01,66.0,111.5,-0.67,100,80,2.89
214,Chinhoyi,ZW,2021-10-26 23:01:02,-17.3667,30.2,71.46,61,4,7.72
215,Kapoeta,SS,2021-10-26 23:01:03,4.7717,33.5903,77.4,57,48,2.51
216,Huatulco,MX,2021-10-26 22:58:47,15.8436,-96.3267,86.86,69,67,5.23
217,Kokkola,FI,2021-10-26 23:01:04,63.8385,23.1307,42.51,93,75,1.14
218,Laguna,US,2021-10-26 23:01:05,38.421,-121.4238,67.91,59,90,1.01
219,Puerto Colombia,CO,2021-10-26 23:01:05,10.9878,-74.9547,82.94,78,93,12.08
220,Saint-Pierre,RE,2021-10-26 23:01:06,-21.3393,55.4781,71.28,59,0,6.91
221,Taclobo,PH,2021-10-26 23:01:06,12.3074,122.586,81.52,80,68,8.28
222,Starkville,US,2021-10-26 23:01:07,33.4504,-88.8184,66.78,69,47,5.35
223,Taltal,CL,2021-10-26 23:00:20,-25.4,-70.4833,61.12,77,18,2.73
224,Camabatela,AO,2021-10-26 23:01:08,-8.1881,15.375,62.62,99,100,2.55
225,Bonfim,BR,2021-10-26 23:01:08,3.0833,-59.95,79.05,75,97,2.91
226,Meiktila,MM,2021-10-26 23:01:09,20.8667,95.8667,72.45,92,27,3.38
227,Tromso,NO,2021-10-26 23:01:09,69.6496,18.957,31.37,80,40,1.14
228,Ushtobe,KZ,2021-10-26 23:01:10,45.2514,77.9838,51.82,35,92,6.82
229,Port-Gentil,GA,2021-10-26 23:01:10,-0.7193,8.7815,78.19,86,58,11.34
230,Bowen,AU,2021-10-26 23:01:11,-20.0167,148.2333,80.58,64,61,9.66
231,Tura,IN,2021-10-26 23:01:11,25.5198,90.2201,65.43,93,0,3.69
232,Port Hawkesbury,CA,2021-10-26 23:01:12,45.6169,-61.3485,50.59,90,100,3.0
233,Millington,US,2021-10-26 23:01:12,35.3415,-89.8973,63.25,62,1,4.61
234,Kongolo,CD,2021-10-26 23:01:13,-5.3833,27.0,71.64,84,68,1.19
235,Talnakh,RU,2021-10-26 23:01:13,69.4865,88.3972,9.14,94,100,2.68
236,Nena,PH,2021-10-26 23:01:14,11.7658,125.4178,80.31,85,81,6.29
237,Boende,CD,2021-10-26 23:01:14,-0.2167,20.8667,71.28,92,81,1.83
238,Khingansk,RU,2021-10-26 23:01:15,49.1167,131.1833,31.37,92,22,1.92
239,Ankazoabo,MG,2021-10-26 23:01:15,-22.2833,44.5167,75.42,50,30,5.12
240,Kasangulu,CD,2021-10-26 23:01:15,-4.5911,15.1708,74.32,86,99,3.62
241,Trincomalee,LK,2021-10-26 23:01:16,8.5711,81.2335,80.58,75,99,5.28
242,Khatanga,RU,2021-10-26 23:01:17,71.9667,102.5,-8.18,100,97,2.82
243,Nuuk,GL,2021-10-26 23:01:17,64.1835,-51.7216,30.81,59,3,11.5
244,Robertsport,LR,2021-10-26 23:01:18,6.7533,-11.3686,79.02,81,100,2.1
245,Kalabo,ZM,2021-10-26 23:01:18,-14.97,22.6814,74.01,66,97,5.57
246,Klaksvik,FO,2021-10-26 22:59:31,62.2266,-6.589,50.92,84,85,28.03
247,Along,IN,2021-10-26 23:01:19,28.1667,94.7667,58.21,95,11,2.13
248,Camacha,PT,2021-10-26 23:01:19,33.0833,-16.3333,66.96,73,40,12.66
249,Santa Lucia,ES,2021-10-26 23:01:20,27.9117,-15.5407,63.72,68,40,10.36
250,San Quintin,MX,2021-10-26 23:01:20,30.4833,-115.95,65.64,61,0,21.47
251,Belorechensk,RU,2021-10-26 23:01:21,44.76,39.87,30.92,84,0,6.6
252,Pangnirtung,CA,2021-10-26 23:01:22,66.1451,-65.7125,25.52,89,90,6.87
253,Virginia Beach,US,2021-10-26 23:00:12,36.8529,-75.978,64.99,76,65,25.21
254,Matara,LK,2021-10-26 23:01:22,5.9485,80.5353,74.71,90,100,6.6
255,Tessalit,ML,2021-10-26 23:01:23,20.1986,1.0114,83.17,17,47,8.34
256,Mogadishu,SO,2021-10-26 23:01:23,2.0371,45.3438,79.72,79,33,12.75
257,Rapid Valley,US,2021-10-26 23:01:24,44.0625,-103.1463,49.32,73,90,4.0
