City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,La Macarena,CO,72.82,moderate rain,2.1837,-73.7849,Hotel Punto Verde
178,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
179,Lenger,KZ,45.84,overcast clouds,42.183,69.8839,Gostevoy Dom 1
180,Vicuna,CL,73.78,clear sky,-30.0319,-70.7081,Los Mosaicos
181,Tual,ID,83.91,light rain,-5.6667,132.75,Grand Vilia Hotel
182,Labuhan,ID,79.75,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
183,Muros,ES,61.84,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
184,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
186,Arlit,NE,85.46,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
187,Nabire,ID,79.97,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
188,Severo-Kurilsk,RU,45.39,overcast clouds,50.6789,156.125,Kak Doma
189,Coahuayana,MX,87.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
190,Nara,JP,62.98,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
191,Sioux Lookout,CA,39.58,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
192,Naryan-Mar,RU,15.28,few clouds,67.6713,53.087,Hostel Agat
193,Norman Wells,CA,28.44,light snow,65.282,-126.8329,Heritage Hotel
194,San Rafael Del Sur,NI,85.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
195,Bandarbeyla,SO,77.0,broken clouds,9.4942,50.8122,JABIR HOTEL
196,Port Elizabeth,ZA,67.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
197,Kavaratti,IN,81.55,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
198,Dalbandin,PK,61.47,clear sky,28.8947,64.4101,Gidaan Guest House
199,Lompoc,US,75.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
200,Solnechnyy,RU,39.15,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
201,Yamasaki,JP,63.34,overcast clouds,35.0,134.55,Izawa village
202,Ancud,CL,53.42,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
203,Kifri,IQ,70.77,clear sky,34.6959,44.9661,Layla jasm
204,Terdal,IN,68.25,clear sky,16.5,75.05,Naikwadi mansion
206,Inta,RU,13.42,overcast clouds,66.0317,60.1659,Apartments in Inta city
207,Bethel,US,60.51,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
208,Ouahigouya,BF,86.29,scattered clouds,13.5828,-2.4216,Hotel Liberte
209,Marsa Matruh,EG,68.2,few clouds,31.3525,27.2453,Beau Site
210,Peraiyur,IN,75.42,overcast clouds,9.7358,77.7896,ரஹ்மத்ஹோட்டல்
211,Castro,BR,60.75,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
212,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
213,Sambhar,IN,64.56,clear sky,26.9167,75.2,Sambhar Heritage Resort
215,Arnedo,ES,48.6,few clouds,42.2167,-2.1,Hotel Virrey
216,Fortuna Foothills,US,78.89,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
217,Nantucket,US,60.94,light rain,41.2835,-70.0995,Jared Coffin House
219,Saint George,US,64.63,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
220,Cairns,AU,89.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
221,Matara,LK,74.71,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
222,Jiaocheng,CN,67.59,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
223,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
224,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
225,Nikolayevsk-Na-Amure,RU,36.59,broken clouds,53.1406,140.73,"Mini-hotel ""Quiet Harbor"""
226,Amuntai,ID,75.96,overcast clouds,-2.4177,115.2494,Hotel Balqis
227,Shimoda,JP,64.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
228,Nizhneudinsk,RU,40.57,overcast clouds,54.9076,99.0276,"Gostinitsa, Kafe, Avtomoyka, Avtoservis, Evakuator Magistral' Im. Lyubimoy Mileny"
230,Nishihara,JP,74.48,few clouds,26.1842,127.7558,Minshuku Agaihama
232,Careiro Da Varzea,BR,83.01,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
234,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
235,Mizdah,LY,62.51,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
236,Onega,RU,40.39,light rain,63.9061,38.1404,Lunny Kot Guest House
238,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,El Medina
239,Tura,IN,65.43,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
241,Beringovskiy,RU,8.42,overcast clouds,63.05,179.3167,Beringgorski
242,San Policarpo,PH,81.27,broken clouds,12.1791,125.5072,Agapita M. Nicart
243,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
244,Pestravka,RU,32.7,broken clouds,52.405,49.9583,"Gostinitsa ""Germes"""
245,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
246,Popondetta,PG,86.65,broken clouds,-8.7537,148.2534,Timos Transit House
247,Kandrian,PG,84.6,overcast clouds,-6.2167,149.55,Kandrian Station
248,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
249,Tlacotepec,MX,72.0,scattered clouds,20.0667,-97.8667,RANCHO LA ILUSION
250,Solnechnogorsk,RU,37.33,overcast clouds,56.1833,36.9833,Luch Hostel
251,Hida,RO,33.66,clear sky,47.0667,23.2833,"Pensiunea agroturistica ""LA PUSKY"""
252,Nome,US,24.87,light snow,64.5011,-165.4064,Dredge 7 Inn
253,Tonj,SS,70.72,moderate rain,7.2737,28.6822,Lakan Hotel
254,Bure,ET,57.97,overcast clouds,10.7,37.0667,Holiday
255,Narsaq,GL,35.82,few clouds,60.9167,-46.05,Sleep In Narsaq
256,Sisimiut,GL,20.23,broken clouds,66.9395,-53.6735,Hotel Sisimiut
257,Namibe,AO,64.33,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
258,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
259,Rio Grande,BR,68.97,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
260,Naklo Nad Notecia,PL,47.44,broken clouds,53.1421,17.6018,ArtCafe
261,Ilulissat,GL,12.22,few clouds,69.2167,-51.1,Hotel Arctic
262,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
263,Mackay,AU,85.05,scattered clouds,-21.15,149.2,International Lodge Motel
264,Takaka,NZ,60.57,overcast clouds,-40.85,172.8,Golden Bay Motels
265,Gamboma,CG,73.69,light rain,-1.8764,15.8644,Residence N'Keni
266,Clyde River,CA,22.55,overcast clouds,70.4692,-68.5914,Qamaq Hotel
268,Lubbock,US,86.25,few clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
269,Kuytun,RU,34.75,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
271,Lubao,PH,80.62,overcast clouds,14.9167,120.55,Hacienda Gracia
272,Santa Vitoria Do Palmar,BR,70.36,clear sky,-33.5189,-53.3681,Hostel Comodoro
273,Broken Hill,AU,78.51,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
276,Chato,TZ,70.34,scattered clouds,-2.6378,31.7669,Morning Star Inn
277,Keti Bandar,PK,77.41,clear sky,24.1447,67.4497,Haji laloo memon house
278,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
279,Cabreuva,BR,71.58,overcast clouds,-23.3075,-47.1328,Unahy Cabreúva
280,Charters Towers,AU,83.17,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
281,Daru,PG,84.45,scattered clouds,-9.0763,143.2092,Daru Lodge
282,Aktau,KZ,39.78,overcast clouds,43.65,51.2,Silk Way Hotel
283,Cayeli,TR,51.48,clear sky,41.0923,40.7292,Grand Cavusoglu Hotel
284,Hohhot,CN,30.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
285,Taitung,TW,71.87,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
286,Dunedin,NZ,57.31,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
287,Batemans Bay,AU,72.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
288,At-Bashi,KG,29.41,broken clouds,41.1702,75.8106,Hostel At-Bashy
289,Fortuna,US,60.1,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
290,Flinders,AU,72.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
291,Nan,TH,69.82,mist,18.8333,100.6667,สะเนียน2
292,Bodaybo,RU,20.88,overcast clouds,57.8506,114.1933,Apartment on Karla Libknekhta 17
293,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
294,Camacha,PT,66.96,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
295,Mamit,IN,63.34,broken clouds,23.9333,92.4833,R.Tlangliana Building
296,Lovozero,RU,25.48,snow,68.005,35.0117,Country house Lovozero
298,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
299,Hasaki,JP,55.8,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
300,Rawson,AR,72.0,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
301,Half Moon Bay,US,67.82,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
303,Bitung,ID,83.25,overcast clouds,1.4451,125.1824,K2 Lembeh
304,Kalmunai,LK,77.41,overcast clouds,7.4167,81.8167,VS Villa
305,Road Town,VG,83.19,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
307,Verkhnevilyuysk,RU,19.51,broken clouds,63.4453,120.3167,Gostinitsa Mila
308,Shingu,JP,61.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
309,Talnakh,RU,9.14,overcast clouds,69.4865,88.3972,Talnakh Hotel
310,Marrakesh,MA,62.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
311,Kilindoni,TZ,78.8,overcast clouds,-7.9139,39.6668,Bustani B&B
312,San Patricio,US,84.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
313,Chicama,PE,59.54,broken clouds,-7.8447,-79.1469,Balihai Bungalows
314,Ordu,TR,36.1,few clouds,40.9086,37.6845,Orencik Koyu Muhtarligi
315,Silifke,TR,65.8,clear sky,36.3778,33.9344,Ayatekla Hotel
316,Kondinskoye,RU,23.79,few clouds,59.6481,67.41,Gostinitsa
317,Sept-Iles,CA,45.12,clear sky,50.2001,-66.3821,Comfort Inn
318,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
319,Camocim,BR,80.44,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
